Title,Hinban,Hinmei,KoushinNo,Customer,Maker,Status
"1","44","スリーブ","5 17～20","名光","テックアダチ",""
"2","TG-719-02","PALTE","3","住友理工","テックアダチ",""
"3","TZ-721-01","BRACKET  ENG MTG №2 RH","2","住友理工","テックアダチ",""
"4","","スリーブ","Q型（16）","名光","テックアダチ",""
"5","460","スリーブ","5 17～20","光","テックアダチ",""
"6","460","スリーブ","6 21～25","光","テックアダチ",""
"7","123","スリーブ","N型（13）","名光","テックアダチ",""
"8","123","スリーブ","O型（14）","名光","テックアダチ",""
"9","123","スリーブ","P型（15）","名光","テックアダチ",""
"10","TZ-589-01","BRACKET E/M №2 RH","2","住友理工","テックアダチ",""
"11","229718-0290","スリーブ","12 45～48","光","テックアダチ",""
"12","229718-0290","スリーブ","13 49～52","光","テックアダチ",""
"13","1F1319-12","BRACKET (LEGACY)","2","BS_BEST","西岡精工",""
"14","BY-494-02","ADAPTER ENG MTG","5","住友理工","テックアダチ",""
"15","TZ-725-01","BRACKET ENG  MTG №2 RH","2","住友理工","テックアダチ",""
"16","42S22000000","RTMT800 ディスクアダプターS","5","シマノ","テックアダチ","初品提出中"
"17","RJ0624-17","BRACKET","3","BS_BEST","テックアダチ",""
"18","ST-6800","巻取体　R","4","シマノ","テックアダチ",""
"19","STR9100","台座L/R","2","シマノ","テックアダチ",""
"20","67F11327","67Fカバーアノード","3","ヤマハ","フジイ金型",""
"21","69J-11327","69Jカバーアノード","3","ヤマハ","フジイ金型",""
"22","6C5","プレート","4","ヤマハ","フジイ金型",""
"23","CSM8100","スパイダーB","1","シマノ","協正金型",""
"24","STR7020","アダプターL（台座）","2","シマノ","八州製作",""
"25","130","スリーブ","2","光","西岡精工",""
"26","TG-719-01","BRACKET","13","住友理工","テックアダチ",""
"27","TG-719-01","BRACKET","14","住友理工","協正金型",""
"28","68T-45331-01","HSG,BEARING1","2","ヤマハ","フジイ金型",""
"29","STR8000","ﾚﾊﾞｰｲﾝﾅｰ　L","2","シマノ","テックアダチ",""
"30","STR8000","ﾚﾊﾞｰｲﾝﾅｰ　R","2","シマノ","テックアダチ",""
"31","STR8000","巻取体　L","2","シマノ","テックアダチ",""
"32","FCM8000","4アームアダプター　BD","4","シマノ","テックアダチ",""
"33","FCM8000","4アームアダプター　D","4","シマノ","テックアダチ",""
"34","ST9100","巻取体　L","2","シマノ","テックアダチ",""
"35","SL-BSレバー","ﾚﾊﾞｰ　R/L","2","シマノ","八州製作",""
"36","A401","ハウジング","4","名光","テックアダチ",""
"37","STR8025","アダプターR（台座）","3","シマノ","八州製作",""
"38","STR8025","アダプターL（台座）","3","シマノ","八州製作",""
"39","1340","スリーブ","12 45～48","光","西岡精工",""
"40","1340","スリーブ","13 49～52","光","西岡精工",""
"41","1T4897-11","BRACKET NO2(350t)","2","BS_BEST","フジイ金型",""
"42","1T4897-11","BRACKET NO2(650t)","5","BS_BEST","フジイ金型",""
"43","K1054K0B","ROD","2","TOYO TIRE","テックアダチ",""
"44","K1055K0B","ROD","2","TOYO TIRE","テックアダチ",""
"45","35732-B2100","CARRIER,PLANETARY（３PIN)","2","福寿","西岡精工",""
"46","35732-B2110","CARRIER,PLANETARY（4PIN)","2","福寿","西岡精工",""
"47","35732-B2120","CARRIER,PLANETARY（5PIN)","2","福寿","西岡精工",""
"48","123","スリーブ","R型（17）","名光","テックアダチ",""
"49","TG-719-01","BRACKET","15","住友理工","テックアダチ",""
"50","TG-719-01","BRACKET","16","住友理工","テックアダチ",""
"51","0750s","スリーブ","12 45～48","光","西岡精工",""
"52","0750s","スリーブ","13 49～52","光","西岡精工",""
"53","63p-44117-01-00-08","63Pブラケット","2","ヤマハ","西岡精工",""
"54","683-45361-02-00-08","CAP,LOWER CASING","8","ヤマハ","西岡精工",""
"55","K1017B0B","BRACKET","5","TOYO TIRE","フジイ金型",""
"56","K1065B0A","BRACKET","2","TOYO TIRE","テックアダチ",""
"57","K2030B0C","BRACKET","3","TOYO TIRE","テックアダチ",""
"58","K2045B1B","BRACKET （コの字）","4","TOYO TIRE","テックアダチ",""
"59","K2045B30","BRACKET","3","TOYO TIRE","テックアダチ",""
"60","K2046B2A","BRACKET","3","TOYO TIRE","西岡精工",""
"61","K4005B00","BRACKET","3","TOYO TIRE","テックアダチ",""
"62","K4007B0A","BRACKET （Lの字）","4","TOYO TIRE","フジイ金型",""
"63","STR7020","アダプターR（台座）","2","シマノ","八州製作",""
"64","0330","BRACKET","2","光","フジイ金型",""
"65","0340","BRACKET","2","光","フジイ金型",""
"66","0530s","スリーブ","3 9～12","光","テックアダチ",""
"67","BLM9120","マスターシリンダーＬ/Ｒ","2","シマノ","テックアダチ",""
"68","BR-M8100","CALIPER　R","3","シマノ","西岡精工",""
"69","BR-M8100","CALIPER　L","3","シマノ","西岡精工",""
"70","CSM8100/7100","SPIDER A","4","シマノ","協正金型",""
"71","CSM8100/7100","SPIDER A","5","シマノ","協正金型",""
"72","CSM8100/7100","SPIDER B","2","シマノ","協正金型",""
"73","1380","スリーブ","2 21～24","光","西岡精工",""
"74","SLMT800","BRACKET","2","シマノ","テックアダチ",""
"75","460","スリーブ","7S25～S28","光","テックアダチ",""
"76","460","スリーブ","8S29～S32","光","テックアダチ",""
"77","JT75_91","SPINDL BRKT","3","バンドー化学","テックアダチ",""
"78","229718-0290","スリーブ","14 53～56","光","テックアダチ",""
"79","229718-0290","スリーブ","15 57～60","光","テックアダチ",""
"80","JF2S0200001","END_PLATE(E-power)","2","VEJ","協正金型",""
"81","JF2S0200001","END_PLATE(E-power)","3","VEJ","協正金型",""
"82","K4012B00","BRACKET, ENG MTG, RR  (TNGA-WCVT)","2","TOYO TIRE","テックアダチ",""
"83","GF600843","GUS DUCT","2","VEJ","テックアダチ",""
"84","K2048B20","(WCVT_No2) BRKT","2","TOYO TIRE","西岡精工",""
"85","12306-B2150-11","エンジンサポートブラケット、LH","2","丸五","テックアダチ",""
"86","K4006B0A","BRACKET, ENG MTG, RR (TNGA-DAT)","3","TOYO TIRE","テックアダチ",""
"87","K2068B1A","BRACKET（丸一）","2 (入子のみ）","TOYO TIRE","テックアダチ",""
"88","TG-719-01","BRACKET","17","住友理工","テックアダチ",""
"89","TG-719-01","BRACKET","18","住友理工","テックアダチ",""
"90","122","スリーブ","5　U","名光","テックアダチ",""
"91","122","スリーブ","4　T","名光","テックアダチ",""
"92","123","スリーブ","S型（18）","名光","テックアダチ",""
"93","123","スリーブ","T型（19）","名光","テックアダチ",""
"94","K2045B30","BRACKET","4","TOYO TIRE","テックアダチ",""
"95","K2045B30","BRACKET","5","TOYO TIRE","テックアダチ",""
"96","K2045B1B","BRACKET （コの字）","5","TOYO TIRE","テックアダチ",""
"97","K4007B0A","BRACKET （Lの字）","5","TOYO TIRE","フジイ金型",""
"98","1J0719-14","No2.BRACKET","3","BS_BEST","フジイ金型",""
"99","K2046B2A","BRACKET","4","TOYO TIRE","西岡精工",""
