Title,RackName,DoorName,Position,Level,UketsukeNo,Hinban,Hinmei,KoushinNo,Customer,IsOccupied
"旧Dラック/⑤番扉/左/3段目","旧Dラック","⑤番扉","左","3段目","","","","","",No
"旧Dラック/⑤番扉/左/2段目","旧Dラック","⑤番扉","左","2段目","","","","","",No
"旧Dラック/⑤番扉/左/1段目奥","旧Dラック","⑤番扉","左","1段目奥","","","","","",No
"旧Dラック/⑤番扉/左/1段目手前","旧Dラック","⑤番扉","左","1段目手前","","","","","",No
"旧Dラック/⑤番扉/中央/3段目","旧Dラック","⑤番扉","中央","3段目","","","","","",No
"旧Dラック/⑤番扉/中央/2段目","旧Dラック","⑤番扉","中央","2段目","","","","","",No
"旧Dラック/⑤番扉/中央/1段目奥","旧Dラック","⑤番扉","中央","1段目奥","","","","","",No
"旧Dラック/⑤番扉/中央/1段目手前","旧Dラック","⑤番扉","中央","1段目手前","","","","","",No
"旧Dラック/⑤番扉/右/3段目","旧Dラック","⑤番扉","右","3段目","","","","","",No
"旧Dラック/⑤番扉/右/2段目","旧Dラック","⑤番扉","右","2段目","","","","","",No
"旧Dラック/⑤番扉/右/1段目奥","旧Dラック","⑤番扉","右","1段目奥","","","","","",No
"旧Dラック/⑤番扉/右/1段目手前","旧Dラック","⑤番扉","右","1段目手前","","","","","",No
"旧Dラック/④番扉/左/3段目","旧Dラック","④番扉","左","3段目","","","","","",No
"旧Dラック/④番扉/左/2段目","旧Dラック","④番扉","左","2段目","","","","","",No
"旧Dラック/④番扉/左/1段目奥","旧Dラック","④番扉","左","1段目奥","","","","","",No
"旧Dラック/④番扉/左/1段目手前","旧Dラック","④番扉","左","1段目手前","","","","","",No
"旧Dラック/④番扉/中央/3段目","旧Dラック","④番扉","中央","3段目","","","","","",No
"旧Dラック/④番扉/中央/2段目","旧Dラック","④番扉","中央","2段目","","","","","",No
"旧Dラック/④番扉/中央/1段目奥","旧Dラック","④番扉","中央","1段目奥","","","","","",No
"旧Dラック/④番扉/中央/1段目手前","旧Dラック","④番扉","中央","1段目手前","","","","","",No
"旧Dラック/④番扉/右/3段目","旧Dラック","④番扉","右","3段目","","","","","",No
"旧Dラック/④番扉/右/2段目","旧Dラック","④番扉","右","2段目","","","","","",No
